2016_5_24 18:15:5
With weights: 0.00980392, 0.00980392, 0.980392
Number of infeasible solutions:0
Min num lib/ass: (39) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (40) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (41) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 34 Num stand ins (lib/ass): 2/2
Min num lib/ass: (42) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (43) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (44) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (45) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 22, Shift avail: 26, Day avail: 32 Num stand ins (lib/ass): 3/0
Min num lib/ass: (46) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 21, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (47) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (48) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (49) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0

Average cost:5.28

2016_5_24 18:15:5
With weights: 0.0833333, 0.0833333, 0.833333
Number of infeasible solutions:0
Min num lib/ass: (0) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (1) 2, 2. Cost: 6    ObjFun value: 600, Stand in cost: 22, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/2
Min num lib/ass: (2) 2, 0. Cost: 4    ObjFun value: 400, Stand in cost: 23, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 2/0
Min num lib/ass: (3) 1, 2. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (4) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
Min num lib/ass: (5) 3, 0. Cost: 6    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 1/4
Min num lib/ass: (6) 2, 0. Cost: 4    ObjFun value: 600, Stand in cost: 24, Shift avail: 27, Day avail: 33 Num stand ins (lib/ass): 3/0
