objfcn	feasible	standins	maxmin
52399	52400	97	0
53799	53800	97	0
54199	54200	98	0
57798	57800	102	0
58198	58200	102	0
40799	40800	98	0
39999	40000	97	0
57199	57200	96	0
40799	40800	96	0
57599	57600	93	0
39599	39600	92	0
39199	39200	92	0
19199	19200	92	0
21599	21600	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
4399	4400	95	0
3599	3600	94	0
3599	3600	94	0
3599	3600	94	0
3599	3600	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
3199	3200	94	0
2399	2400	94	0
2399	2400	94	0
2399	2400	94	0
2399	2400	94	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
16599	16600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
1599	1600	93	0
