1000 iterations. No infeasibilities. Best results obtained for [1,10,1] (11.96) 
next best [1,10,10] (11.66).
Worst [0,0,0] (8.57), second worst [10,10,1] (10.78)

2016_5_19 17:2:59
With weights: 0.047619, 0.47619, 0.47619
Number of infeasible solutions:0
Min num lib/ass: (70) 2, 0. Cost: 10    ObjFun value: 30.6445
Min num lib/ass: (71) 1, 2. Cost: 7    ObjFun value: 30.6438
Min num lib/ass: (72) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (73) 3, 0. Cost: 15    ObjFun value: 30.6441
Min num lib/ass: (74) 2, 0. Cost: 10    ObjFun value: 31.1203
Min num lib/ass: (75) 3, 0. Cost: 15    ObjFun value: 30.6445
Min num lib/ass: (76) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (77) 3, 0. Cost: 15    ObjFun value: 31.0727
Min num lib/ass: (78) 3, 0. Cost: 15    ObjFun value: 30.642
Min num lib/ass: (79) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (80) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (81) 1, 2. Cost: 7    ObjFun value: 30.6445
Min num lib/ass: (82) 3, 0. Cost: 15    ObjFun value: 30.6441
Min num lib/ass: (83) 2, 0. Cost: 10    ObjFun value: 30.6445
Min num lib/ass: (84) 3, 0. Cost: 15    ObjFun value: 30.6441
Min num lib/ass: (85) 3, 0. Cost: 15    ObjFun value: 30.6445
Min num lib/ass: (86) 1, 4. Cost: 9    ObjFun value: 30.6441
Min num lib/ass: (87) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (88) 1, 2. Cost: 7    ObjFun value: 30.6445
Min num lib/ass: (89) 3, 0. Cost: 15    ObjFun value: 30.6441
Min num lib/ass: (90) 3, 0. Cost: 15    ObjFun value: 31.073
Min num lib/ass: (91) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (92) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (93) 1, 2. Cost: 7    ObjFun value: 31.0727
Min num lib/ass: (94) 1, 2. Cost: 7    ObjFun value: 31.1207
Min num lib/ass: (95) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (96) 1, 2. Cost: 7    ObjFun value: 30.6438
Min num lib/ass: (97) 2, 0. Cost: 10    ObjFun value: 30.6441
Min num lib/ass: (98) 3, 0. Cost: 15    ObjFun value: 30.6445
Min num lib/ass: (99) 3, 0. Cost: 15    ObjFun value: 30.6441

Average cost:11.66

2016_5_19 17:2:59
With weights: 0.47619, 0.047619, 0.47619
Number of infeasible solutions:0
Min num lib/ass: (0) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (1) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (2) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (3) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (4) 2, 0. Cost: 10    ObjFun value: 29.8892
Min num lib/ass: (5) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (6) 0, 4. Cost: 4    ObjFun value: 29.8902
Min num lib/ass: (7) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (8) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (9) 2, 2. Cost: 12    ObjFun value: 29.414
Min num lib/ass: (10) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (11) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (12) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (13) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (14) 2, 2. Cost: 12    ObjFun value: 29.415
Min num lib/ass: (15) 2, 0. Cost: 10    ObjFun value: 29.8902
Min num lib/ass: (16) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (17) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (18) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (19) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (20) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (21) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (22) 1, 2. Cost: 7    ObjFun value: 29.415
Min num lib/ass: (23) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (24) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (25) 1, 2. Cost: 7    ObjFun value: 29.415
Min num lib/ass: (26) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (27) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (28) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (29) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (30) 2, 2. Cost: 12    ObjFun value: 29.414
Min num lib/ass: (31) 2, 0. Cost: 10    ObjFun value: 29.8912
Min num lib/ass: (32) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (33) 0, 2. Cost: 2    ObjFun value: 29.414
Min num lib/ass: (34) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (35) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (36) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (37) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (38) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (39) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (40) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (41) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (42) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (43) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (44) 1, 4. Cost: 9    ObjFun value: 29.415
Min num lib/ass: (45) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (46) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (47) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (48) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (49) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (50) 1, 2. Cost: 7    ObjFun value: 29.415
Min num lib/ass: (51) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (52) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (53) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (54) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (55) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (56) 2, 2. Cost: 12    ObjFun value: 29.414
Min num lib/ass: (57) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (58) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (59) 3, 0. Cost: 15    ObjFun value: 29.8902
Min num lib/ass: (60) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (61) 2, 0. Cost: 10    ObjFun value: 29.8902
Min num lib/ass: (62) 2, 2. Cost: 12    ObjFun value: 29.414
Min num lib/ass: (63) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (64) 2, 2. Cost: 12    ObjFun value: 29.415
Min num lib/ass: (65) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (66) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (67) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (68) 1, 0. Cost: 5    ObjFun value: 29.414
Min num lib/ass: (69) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (70) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (71) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (72) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (73) 2, 2. Cost: 12    ObjFun value: 29.414
Min num lib/ass: (74) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (75) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (76) 2, 0. Cost: 10    ObjFun value: 29.8902
Min num lib/ass: (77) 2, 0. Cost: 10    ObjFun value: 29.415
Min num lib/ass: (78) 0, 4. Cost: 4    ObjFun value: 29.415
Min num lib/ass: (79) 1, 2. Cost: 7    ObjFun value: 29.415
Min num lib/ass: (80) 3, 0. Cost: 15    ObjFun value: 29.415
Min num lib/ass: (81) 1, 4. Cost: 9    ObjFun value: 29.412
Min num lib/ass: (82) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (83) 3, 0. Cost: 15    ObjFun value: 29.414
Min num lib/ass: (84) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (85) 2, 0. Cost: 10    ObjFun value: 29.414
Min num lib/ass: (86) 1, 2. Cost: 7    ObjFun value: 29.414
Min num lib/ass: (87) 3, 0. Cost: 15    ObjFun value: 29.414
