Min num lib/ass: (3) 0, 2. Cost: 2
Min num lib/ass: (4) 2, 0. Cost: 4
Min num lib/ass: (5) 1, 0. Cost: 2
Min num lib/ass: (6) 1, 0. Cost: 2
Min num lib/ass: (7) 1, 2. Cost: 4

Average cost:2.5

With weights: 10, 0, 2
Number of infeasible solutions:20
Min num lib/ass: (0) 2, 0. Cost: 4
Min num lib/ass: (1) 1, 2. Cost: 4
Min num lib/ass: (2) 1, 2. Cost: 4
Min num lib/ass: (3) 0, 0. Cost: 0
Min num lib/ass: (4) 0, 2. Cost: 2
Min num lib/ass: (5) 1, 0. Cost: 2
Min num lib/ass: (6) 1, 2. Cost: 4
Min num lib/ass: (7) 0, 2. Cost: 2
Min num lib/ass: (8) 1, 2. Cost: 4
Min num lib/ass: (9) 0, 2. Cost: 2
Min num lib/ass: (10) 1, 2. Cost: 4
Min num lib/ass: (11) 2, 0. Cost: 4
Min num lib/ass: (12) 2, 0. Cost: 4
Min num lib/ass: (13) 0, 0. Cost: 0
Min num lib/ass: (14) 0, 2. Cost: 2
Min num lib/ass: (15) 2, 0. Cost: 4
Min num lib/ass: (16) 1, 0. Cost: 2
Min num lib/ass: (17) 0, 2. Cost: 2
Min num lib/ass: (18) 1, 0. Cost: 2
Min num lib/ass: (19) 2, 0. Cost: 4

Average cost:2.8

With weights: 10, 0, 5
Number of infeasible solutions:20
Min num lib/ass: (0) 0, 2. Cost: 2
Min num lib/ass: (1) 1, 2. Cost: 4
Min num lib/ass: (2) 0, 2. Cost: 2
Min num lib/ass: (3) 1, 0. Cost: 2
Min num lib/ass: (4) 1, 2. Cost: 4
Min num lib/ass: (5) 2, 0. Cost: 4
Min num lib/ass: (6) 2, 0. Cost: 4
Min num lib/ass: (7) 0, 2. Cost: 2
Min num lib/ass: (8) 2, 0. Cost: 4
Min num lib/ass: (9) 2, 0. Cost: 4
Min num lib/ass: (10) 1, 0. Cost: 2
Min num lib/ass: (11) 0, 2. Cost: 2
Min num lib/ass: (12) 2, 0. Cost: 4
Min num lib/ass: (13) 1, 2. Cost: 4
Min num lib/ass: (14) 2, 0. Cost: 4
Min num lib/ass: (15) 2, 0. Cost: 4
Min num lib/ass: (16) 1, 2. Cost: 4
Min num lib/ass: (17) 1, 2. Cost: 4
Min num lib/ass: (18) 1, 2. Cost: 4
Min num lib/ass: (19) 1, 0. Cost: 2

Average cost:3.3

With weights: 10, 0, 10
Number of infeasible solutions:24
Min num lib/ass: (0) 1, 0. Cost: 2
Min num lib/ass: (1) 1, 0. Cost: 2
Min num lib/ass: (2) 1, 0. Cost: 2
Min num lib/ass: (3) 1, 2. Cost: 4
Min num lib/ass: (4) 2, 0. Cost: 4
Min num lib/ass: (5) 0, 2. Cost: 2
Min num lib/ass: (6) 0, 0. Cost: 0
Min num lib/ass: (7) 2, 0. Cost: 4
Min num lib/ass: (8) 0, 4. Cost: 4
Min num lib/ass: (9) 0, 2. Cost: 2
Min num lib/ass: (10) 1, 2. Cost: 4
Min num lib/ass: (11) 2, 0. Cost: 4
Min num lib/ass: (12) 2, 0. Cost: 4
Min num lib/ass: (13) 2, 0. Cost: 4
Min num lib/ass: (14) 2, 0. Cost: 4
Min num lib/ass: (15) 1, 2. Cost: 4

Average cost:3.125

With weights: 10, 10, 10
Number of infeasible solutions:21
Min num lib/ass: (0) 0, 4. Cost: 4
Min num lib/ass: (1) 2, 0. Cost: 4
Min num lib/ass: (2) 1, 2. Cost: 4
Min num lib/ass: (3) 2, 0. Cost: 4
Min num lib/ass: (4) 1, 0. Cost: 2
Min num lib/ass: (5) 1, 2. Cost: 4
Min num lib/ass: (6) 2, 0. Cost: 4
Min num lib/ass: (7) 1, 2. Cost: 4
Min num lib/ass: (8) 0, 2. Cost: 2
Min num lib/ass: (9) 1, 2. Cost: 4
Min num lib/ass: (10) 1, 0. Cost: 2
Min num lib/ass: (11) 1, 0. Cost: 2
Min num lib/ass: (12) 1, 0. Cost: 2
Min num lib/ass: (13) 2, 0. Cost: 4
Min num lib/ass: (14) 1, 0. Cost: 2
Min num lib/ass: (15) 1, 0. Cost: 2
Min num lib/ass: (16) 0, 2. Cost: 2
Min num lib/ass: (17) 1, 0. Cost: 2
Min num lib/ass: (18) 2, 0. Cost: 4

Average cost:3.05263

