Weekday count, Avail day ass, Avail day lib
1,7,18
2,7,13
3,9,16
4,9,11
5,8,15
6,7,16
7,7,13
8,9,16
9,8,13
10,8,14
11,7,16
12,7,13
13,9,16
14,8,13
15,7,14
16,8,17
17,7,13
18,9,16
19,8,12
20,8,13
21,7,16
22,7,13
23,9,16
24,8,13
25,6,16
