Iteration, weekend objf, stand in cost, shift avail cost, day avail cost, aver_stand_in, aver_shift, aver_day. 
121,32.9629,22,27,31,8.68,7.46734,11.04
122,32.9433,21,27,32,8.72,7.48744,11.06
123,32.9433,21,25,30,8.74,7.50251,11.08
124,32.9629,23,27,32,8.72,7.48744,11.06
125,32.9629,21,27,31,8.72,7.48744,11.06
126,32.9629,23,27,32,8.72,7.48744,11.06
127,32.9629,23,27,32,8.72,7.48744,11.06
128,32.9629,23,27,32,8.72,7.48744,11.06
129,32.9629,21,27,30,8.7,7.47236,11.04
130,32.9531,22,27,32,8.72,7.48744,11.06
131,32.9531,22,27,30,8.74,7.50251,11.08
132,32.9531,23,27,31,8.72,7.48744,11.06
133,32.9531,22,27,32,8.72,7.48744,11.06
134,32.9335,20,27,32,8.72,7.48744,11.06
135,33.9237,22,26,33,8.72,7.48744,11.06
136,33.9237,22,26,33,8.72,7.48744,11.06
137,33.9237,23,26,31,8.72,7.49749,11.08
138,33.9237,22,27,31,8.74,7.50251,11.08
139,33.9237,22,27,30,8.74,7.50251,11.08
140,33.9041,20,26,33,8.72,7.48744,11.06
141,33.9041,20,26,33,8.72,7.48744,11.06
142,33.9041,22,26,32,8.72,7.48744,11.06
143,33.9041,20,26,33,8.72,7.48744,11.06
144,33.9041,20,26,33,8.72,7.48744,11.06
145,33.9041,20,26,31,8.7,7.47236,11.04
146,33.9041,20,26,32,8.72,7.48744,11.06
147,33.9041,21,26,32,8.72,7.48744,11.06
148,33.9139,20,27,33,8.72,7.48744,11.06
149,33.9139,22,27,31,8.74,7.50251,11.08
150,33.9139,20,27,31,8.72,7.48744,11.06
151,33.9139,20,27,32,8.72,7.48744,11.06
152,33.9139,20,27,32,8.72,7.48744,11.06
153,33.9139,22,27,31,8.72,7.48744,11.06
154,33.9139,20,27,31,8.72,7.48744,11.06
155,33.9335,22,27,33,8.72,7.48744,11.06
156,33.9335,20,27,32,8.74,7.50251,11.08
157,33.8845,19,25,33,8.72,7.48744,11.06
158,33.9237,21,27,33,8.72,7.48744,11.06
159,33.9237,21,27,31,8.72,7.48744,11.06
160,33.9237,21,27,33,8.72,7.48744,11.06
161,33.9237,23,27,32,8.72,7.48744,11.06
162,33.9237,21,27,32,8.74,7.50251,11.08
163,33.9237,21,27,31,8.72,7.48744,11.06
164,33.9237,23,27,31,8.72,7.48744,11.06
165,33.9237,21,27,33,8.72,7.48744,11.06
166,33.9237,21,27,33,8.72,7.48744,11.06
167,33.9237,21,27,32,8.72,7.48744,11.06
168,33.9237,19,27,31,8.7,7.47236,11.04
169,33.9335,22,27,33,8.72,7.48744,11.06
170,33.9335,19,25,31,8.74,7.50251,11.08
171,33.9335,22,27,32,8.72,7.48744,11.06
172,33.9335,22,27,32,8.72,7.48744,11.06
173,33.9335,22,27,32,8.72,7.48744,11.06
174,33.9335,22,26,32,8.72,7.48744,11.06
175,33.9335,22,27,32,8.72,7.48744,11.06
176,33.9335,22,27,31,8.72,7.48744,11.06
177,33.9433,23,27,33,8.72,7.48744,11.06
178,33.9433,22,27,32,8.72,7.48744,11.06
179,33.9433,23,27,32,8.72,7.48744,11.06
180,33.9433,23,27,33,8.72,7.48744,11.06
181,33.9433,23,27,33,8.72,7.48744,11.06
182,33.9433,23,27,31,8.72,7.48744,11.06
183,33.9237,21,27,33,8.72,7.48744,11.06
184,33.9237,22,26,31,8.74,7.50251,11.08
185,33.9237,23,27,31,8.72,7.48744,11.06
186,33.9237,21,27,33,8.72,7.48744,11.06
187,33.9237,21,27,31,8.72,7.48744,11.06
188,33.9237,21,27,33,8.72,7.48744,11.06
189,33.9237,21,27,33,8.72,7.48744,11.06
190,33.9237,21,27,33,8.72,7.48744,11.06
191,33.9237,21,27,33,8.7,7.48241,11.06
192,33.9237,23,27,31,8.72,7.49749,11.08
193,33.9433,23,27,33,8.7,7.48241,11.06
194,33.9433,21,27,31,8.7,7.48241,11.06
195,33.9433,23,27,31,8.7,7.48241,11.06
196,33.9433,21,27,32,8.7,7.48241,11.06
197,33.9433,20,26,32,8.72,7.48744,11.06
198,33.9433,23,27,32,8.7,7.48241,11.06
199,33.9433,23,27,32,8.7,7.48241,11.06
200,33.9433,21,25,31,8.68,7.46734,11.04
201,33.9433,23,26,30,8.7,7.48241,11.06
202,33.9433,23,27,31,8.7,7.48241,11.06
