Iteration, weekend objf, stand in cost, shift avail cost, day avail cost, aver_stand_in, aver_shift, aver_day. 
162,33.9356,22,27,33,8,6
163,33.9356,21,27,32,8,5
164,33.9356,23,27,31,9,5
165,33.9356,22,27,32,8,6
166,33.9356,21,27,32,8,5
167,33.9356,23,27,32,9,5
168,33.9356,22,27,33,8,6
169,33.9356,22,27,33,8,6
170,33.9356,22,27,33,8,6
171,33.9356,22,27,32,8,6
172,33.9356,22,27,32,8,6
173,33.9356,22,27,32,8,6
174,33.9356,22,27,33,8,6
175,33.9356,22,26,31,8,6
176,33.9356,22,27,33,8,6
177,33.9356,22,27,31,8,6
178,33.9454,23,27,33,9,5
179,33.9454,24,27,32,9,6
180,33.9454,22,27,32,8,6
181,33.9454,23,27,33,9,5
182,33.9454,21,27,31,8,5
183,33.9454,20,27,32,8,4
184,33.9454,23,27,33,9,5
185,33.9454,23,27,32,9,5
186,33.9454,23,27,32,9,5
187,33.9454,22,27,32,8,6
188,33.9454,22,27,31,9,4
189,33.9454,23,27,32,9,5
190,33.9454,23,27,33,9,5
191,33.9454,23,27,30,9,5
192,33.9454,23,27,33,9,5
193,33.9258,21,27,33,8,5
194,33.9258,21,27,31,8,5
195,33.9258,21,27,33,8,5
196,33.9258,22,27,31,8,6
197,33.9258,19,27,32,7,5
198,33.9258,21,27,31,8,5
199,33.9258,20,27,32,8,4
200,33.9454,23,27,33,9,5
201,33.9454,23,27,33,9,5
202,33.9454,23,27,32,9,5
203,33.9454,23,27,31,9,5
204,33.9454,22,27,33,8,6
205,33.9454,22,27,31,8,6
206,33.9454,21,27,32,8,5
207,33.9454,23,27,32,9,5
208,33.9454,23,27,31,9,5
209,33.9454,23,27,33,9,5
210,33.9454,22,27,31,8,6
211,33.9356,22,27,33,8,6
212,33.9356,22,27,32,8,6
213,33.9356,22,27,32,8,6
214,33.9356,22,27,31,8,6
215,33.9356,22,27,33,8,6
216,33.9356,22,27,33,8,6
217,33.9356,22,27,31,8,6
218,33.9356,22,27,33,8,6
219,33.9356,22,27,31,8,6
220,33.9356,20,27,32,7,6
221,33.9356,22,27,32,8,6
222,33.9356,22,27,33,8,6
223,33.9356,22,27,33,8,6
224,33.9356,22,27,31,8,6
225,33.9356,21,27,32,8,5
226,33.9356,21,27,32,8,5
227,33.9356,23,27,31,9,5
228,33.9356,22,27,33,8,6
229,33.9356,21,27,31,8,5
230,33.9356,22,27,30,8,6
231,33.9356,22,27,31,8,6
232,33.9356,22,27,32,8,6
233,33.9356,21,26,30,8,5
234,33.9356,22,27,32,8,6
235,33.9356,22,27,33,8,6
236,33.9356,20,27,31,7,6
237,33.9454,23,27,33,9,5
238,33.9454,23,27,32,9,5
239,33.9454,23,27,32,9,5
240,33.9454,21,27,33,8,5
241,33.9454,23,27,33,9,5
242,33.9454,23,27,32,9,5
243,33.9454,23,27,30,9,5
244,33.9454,23,27,31,9,5
245,33.9454,23,27,33,9,5
246,33.9454,22,27,32,8,6
247,33.9454,23,27,33,9,5
248,33.9454,23,27,33,9,5
249,33.9454,21,27,31,8,5
250,33.9454,23,27,31,9,5
251,33.9454,23,27,33,9,5
252,33.9454,23,27,32,9,5
253,33.9454,22,27,31,9,4
254,33.9258,21,27,33,8,5
255,33.9258,21,27,32,8,5
256,33.9258,22,26,31,8,6
257,33.9258,23,26,31,9,5
258,33.9258,21,27,31,8,5
259,33.9258,23,25,33,9,5
260,33.9258,23,25,31,9,5
261,33.9258,23,25,32,9,5
262,33.9258,21,25,31,8,5
263,33.9258,23,25,33,9,5
264,33.9258,23,25,32,9,5
265,33.9258,23,25,32,9,5
266,33.9258,20,25,32,8,4
267,33.9258,22,27,31,8,6
268,33.9062,21,25,33,8,5
269,33.9258,23,25,33,9,5
270,33.9258,23,26,31,9,5
271,33.9258,23,25,32,9,5
272,33.9258,23,25,33,9,5
273,33.9258,23,25,32,9,5
274,33.9258,23,25,33,9,5
275,33.9258,23,25,31,9,5
276,33.9454,23,27,33,9,5
277,33.9454,23,27,33,9,5
278,33.9454,21,27,32,8,5
279,33.9454,22,26,32,9,4
280,33.9454,23,27,33,9,5
281,33.9454,22,27,31,8,6
282,33.9454,21,25,32,8,5
283,33.9454,22,27,31,8,6
284,33.9454,23,26,31,9,5
285,33.9454,23,26,31,9,5
286,33.9454,23,27,33,9,5
287,33.9454,23,27,33,9,5
288,33.9454,23,27,31,9,5
289,33.916,22,25,33,8,6
290,33.916,20,25,32,7,6
291,33.916,22,27,31,8,6
292,33.916,21,26,33,8,5
293,33.916,22,26,31,8,6
294,33.916,21,26,33,8,5
295,33.916,23,26,30,9,5
